Region,Month_Year,Net_Generation_MWh
Illinois : all sectors,Jan 2001,0.0
Iowa : all sectors,Jan 2001,44.0
Kansas : all sectors,Jan 2001,0.0
Minnesota : all sectors,Jan 2001,86.0
North Dakota : all sectors,Jan 2001,0.0
Oklahoma : all sectors,Jan 2001,0.0
Texas : all sectors,Jan 2001,84.0
Colorado : all sectors,Jan 2001,4.0
California : all sectors,Jan 2001,133.0
Washington : all sectors,Jan 2001,0.0
Illinois : all sectors,Feb 2001,0.0
Iowa : all sectors,Feb 2001,33.0
Kansas : all sectors,Feb 2001,0.0
Minnesota : all sectors,Feb 2001,73.0
North Dakota : all sectors,Feb 2001,0.0
Oklahoma : all sectors,Feb 2001,0.0
Texas : all sectors,Feb 2001,142.0
Colorado : all sectors,Feb 2001,2.0
California : all sectors,Feb 2001,148.0
Washington : all sectors,Feb 2001,0.0
Illinois : all sectors,Mar 2001,0.0
Iowa : all sectors,Mar 2001,38.0
Kansas : all sectors,Mar 2001,0.0
Minnesota : all sectors,Mar 2001,67.0
North Dakota : all sectors,Mar 2001,0.0
Oklahoma : all sectors,Mar 2001,0.0
Texas : all sectors,Mar 2001,88.0
Colorado : all sectors,Mar 2001,2.0
California : all sectors,Mar 2001,300.0
Washington : all sectors,Mar 2001,0.0
Illinois : all sectors,Apr 2001,0.0
Iowa : all sectors,Apr 2001,54.0
Kansas : all sectors,Apr 2001,0.0
Minnesota : all sectors,Apr 2001,91.0
North Dakota : all sectors,Apr 2001,0.0
Oklahoma : all sectors,Apr 2001,0.0
Texas : all sectors,Apr 2001,115.0
Colorado : all sectors,Apr 2001,3.0
California : all sectors,Apr 2001,393.0
Washington : all sectors,Apr 2001,0.0
Illinois : all sectors,May 2001,0.0
Iowa : all sectors,May 2001,48.0
Kansas : all sectors,May 2001,0.0
Minnesota : all sectors,May 2001,73.0
North Dakota : all sectors,May 2001,0.0
Oklahoma : all sectors,May 2001,0.0
Texas : all sectors,May 2001,103.0
Colorado : all sectors,May 2001,3.0
California : all sectors,May 2001,378.0
Washington : all sectors,May 2001,0.0
Illinois : all sectors,Jun 2001,0.0
Iowa : all sectors,Jun 2001,35.0
Kansas : all sectors,Jun 2001,0.0
Minnesota : all sectors,Jun 2001,64.0
North Dakota : all sectors,Jun 2001,0.0
Oklahoma : all sectors,Jun 2001,0.0
Texas : all sectors,Jun 2001,92.0
Colorado : all sectors,Jun 2001,2.0
California : all sectors,Jun 2001,438.0
Washington : all sectors,Jun 2001,0.0
Illinois : all sectors,Jul 2001,0.0
Iowa : all sectors,Jul 2001,23.0
Kansas : all sectors,Jul 2001,0.0
Minnesota : all sectors,Jul 2001,56.0
North Dakota : all sectors,Jul 2001,0.0
Oklahoma : all sectors,Jul 2001,0.0
Texas : all sectors,Jul 2001,76.0
Colorado : all sectors,Jul 2001,1.0
California : all sectors,Jul 2001,440.0
Washington : all sectors,Jul 2001,0.0
Illinois : all sectors,Aug 2001,0.0
Iowa : all sectors,Aug 2001,25.0
Kansas : all sectors,Aug 2001,0.0
Minnesota : all sectors,Aug 2001,49.0
North Dakota : all sectors,Aug 2001,0.0
Oklahoma : all sectors,Aug 2001,0.0
Texas : all sectors,Aug 2001,56.0
Colorado : all sectors,Aug 2001,3.0
California : all sectors,Aug 2001,408.0
Washington : all sectors,Aug 2001,0.0
Illinois : all sectors,Sep 2001,0.0
Iowa : all sectors,Sep 2001,26.0
Kansas : all sectors,Sep 2001,0.0
Minnesota : all sectors,Sep 2001,55.0
North Dakota : all sectors,Sep 2001,0.0
Oklahoma : all sectors,Sep 2001,0.0
Texas : all sectors,Sep 2001,76.0
Colorado : all sectors,Sep 2001,2.0
California : all sectors,Sep 2001,293.0
Washington : all sectors,Sep 2001,0.0
Illinois : all sectors,Oct 2001,0.0
Iowa : all sectors,Oct 2001,52.0
Kansas : all sectors,Oct 2001,0.0
Minnesota : all sectors,Oct 2001,91.0
North Dakota : all sectors,Oct 2001,0.0
Oklahoma : all sectors,Oct 2001,0.0
Texas : all sectors,Oct 2001,123.0
Colorado : all sectors,Oct 2001,5.0
California : all sectors,Oct 2001,253.0
Washington : all sectors,Oct 2001,0.0
Illinois : all sectors,Nov 2001,0.0
Iowa : all sectors,Nov 2001,51.0
Kansas : all sectors,Nov 2001,0.0
Minnesota : all sectors,Nov 2001,97.0
North Dakota : all sectors,Nov 2001,0.0
Oklahoma : all sectors,Nov 2001,0.0
Texas : all sectors,Nov 2001,89.0
Colorado : all sectors,Nov 2001,5.0
California : all sectors,Nov 2001,143.0
Washington : all sectors,Nov 2001,0.0
Illinois : all sectors,Dec 2001,0.0
Iowa : all sectors,Dec 2001,59.0
Kansas : all sectors,Dec 2001,40.0
Minnesota : all sectors,Dec 2001,92.0
North Dakota : all sectors,Dec 2001,0.0
Oklahoma : all sectors,Dec 2001,0.0
Texas : all sectors,Dec 2001,143.0
Colorado : all sectors,Dec 2001,16.0
California : all sectors,Dec 2001,172.0
Washington : all sectors,Dec 2001,0.0
Illinois : all sectors,Jan 2002,0.0
Iowa : all sectors,Jan 2002,84.0
Kansas : all sectors,Jan 2002,46.0
Minnesota : all sectors,Jan 2002,98.0
North Dakota : all sectors,Jan 2002,0.0
Oklahoma : all sectors,Jan 2002,0.0
Texas : all sectors,Jan 2002,287.0
Colorado : all sectors,Jan 2002,16.0
California : all sectors,Jan 2002,131.0
Washington : all sectors,Jan 2002,48.0
Illinois : all sectors,Feb 2002,0.0
Iowa : all sectors,Feb 2002,103.0
Kansas : all sectors,Feb 2002,47.0
Minnesota : all sectors,Feb 2002,103.0
North Dakota : all sectors,Feb 2002,0.0
Oklahoma : all sectors,Feb 2002,0.0
Texas : all sectors,Feb 2002,195.0
Colorado : all sectors,Feb 2002,15.0
California : all sectors,Feb 2002,153.0
Washington : all sectors,Feb 2002,21.0
Illinois : all sectors,Mar 2002,0.0
Iowa : all sectors,Mar 2002,80.0
Kansas : all sectors,Mar 2002,47.0
Minnesota : all sectors,Mar 2002,58.0
North Dakota : all sectors,Mar 2002,0.0
Oklahoma : all sectors,Mar 2002,0.0
Texas : all sectors,Mar 2002,238.0
Colorado : all sectors,Mar 2002,11.0
California : all sectors,Mar 2002,267.0
Washington : all sectors,Mar 2002,51.0
Illinois : all sectors,Apr 2002,0.0
Iowa : all sectors,Apr 2002,97.0
Kansas : all sectors,Apr 2002,47.0
Minnesota : all sectors,Apr 2002,95.0
North Dakota : all sectors,Apr 2002,0.0
Oklahoma : all sectors,Apr 2002,0.0
Texas : all sectors,Apr 2002,237.0
Colorado : all sectors,Apr 2002,13.0
California : all sectors,Apr 2002,409.0
Washington : all sectors,Apr 2002,35.0
Illinois : all sectors,May 2002,0.0
Iowa : all sectors,May 2002,87.0
Kansas : all sectors,May 2002,46.0
Minnesota : all sectors,May 2002,83.0
North Dakota : all sectors,May 2002,0.0
Oklahoma : all sectors,May 2002,0.0
Texas : all sectors,May 2002,264.0
Colorado : all sectors,May 2002,11.0
California : all sectors,May 2002,478.0
Washington : all sectors,May 2002,28.0
Illinois : all sectors,Jun 2002,0.0
Iowa : all sectors,Jun 2002,75.0
Kansas : all sectors,Jun 2002,43.0
Minnesota : all sectors,Jun 2002,77.0
North Dakota : all sectors,Jun 2002,0.0
Oklahoma : all sectors,Jun 2002,0.0
Texas : all sectors,Jun 2002,258.0
Colorado : all sectors,Jun 2002,10.0
