-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  40.1603   Longitude -89.1587 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 183.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,99.82,99.99,99.55,99.46,99.18,99.43,99.37,99.42,99.59,99.54,99.73,99.57,99.55
PS,2002,99.48,99.76,99.68,99.55,99.48,99.37,99.5,99.56,99.45,99.68,99.51,99.55,99.55
PS,2003,99.98,99.6,99.19,99.21,99.15,99.21,99.32,99.49,99.55,99.38,99.56,99.62,99.44
PS,2004,99.8,99.95,99.76,99.41,99.21,99.44,99.26,99.45,99.73,99.31,99.81,99.69,99.57
PS,2005,100.1,99.78,99.15,99.19,99.37,99.18,99.38,99.35,99.59,99.67,99.31,99.54,99.47
PS,2006,99.21,99.67,99.6,99.13,99.04,99.43,99.37,99.38,99.27,99.33,99.65,99.91,99.41
PS,2007,99.82,99.65,99.68,99.3,99.65,99.29,99.4,99.3,99.62,99.43,99.77,99.64,99.54
PS,2008,99.76,99.44,99.56,99.33,98.95,99.13,99.3,99.38,99.67,99.92,99.58,99.7,99.47
PS,2009,99.67,99.76,99.67,99.22,99.38,98.98,99.29,99.45,99.62,99.32,99.64,99.5,99.46
PS,2010,99.84,99.55,99.22,99.06,99.27,99.18,99.33,99.3,99.35,99.46,99.56,99.72,99.4
PS,2011,99.66,99.56,99.68,98.76,99.04,99.1,99.24,99.12,99.39,99.48,99.42,99.88,99.36
PS,2012,99.49,99.74,99.41,99.34,99.27,99.22,99.26,99.31,99.44,99.32,99.99,99.38,99.43
PS,2013,99.91,99.44,99.61,99.38,99.26,99.13,99.52,99.54,99.42,99.47,100.07,99.8,99.55
PS,2014,99.57,99.78,99.6,99.15,99.33,99.14,99.46,99.33,99.68,99.21,99.66,100.04,99.5
PS,2015,100.03,100.04,99.94,99.27,99.61,99.2,99.21,99.4,99.55,99.65,99.73,99.36,99.58
PS,2016,99.62,99.54,99.27,99.4,99.38,99.31,99.34,99.43,99.56,99.67,99.75,99.97,99.52
PS,2017,99.46,99.31,99.84,99.17,98.97,99.16,99.39,99.45,99.53,99.43,99.72,99.85,99.44
PS,2018,100.16,99.97,99.6,99.49,99.2,99.11,99.54,99.35,99.62,99.59,99.66,99.62,99.57
PS,2019,99.84,99.72,99.88,99.17,99.11,99.15,99.37,99.29,99.5,99.42,99.71,99.54,99.47
PS,2020,99.81,99.71,99.65,99.19,99.4,99.28,99.29,99.33,99.55,99.64,99.85,99.6,99.52
PS,2021,99.62,99.97,99.78,99.26,99.72,99.22,99.45,99.42,99.36,99.18,99.81,99.26,99.5
PS,2022,99.91,99.93,99.32,99.26,99.11,99.33,99.28,99.41,99.56,99.52,99.76,99.68,99.5
PS,2023,99.44,99.47,99.47,99.3,99.46,99.0,99.19,99.26,99.53,99.39,99.77,99.64,99.41
PS,2024,99.64,99.34,99.28,99.12,98.94,99.15,99.39,99.54,99.44,99.86,99.47,99.85,99.42
PS,2025,99.94,99.91,98.9,99.42,99.2,99.23,99.38,99.66,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2001,-3.92,-0.65,2.21,14.35,17.98,21.07,25.5,24.99,18.46,11.73,8.93,1.19,11.88
