-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  31.6528   Longitude -99.3331 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 497.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,96.26,96.1,95.81,95.8,95.61,95.66,95.72,95.85,95.84,96.02,96.08,96.06,95.9
PS,2002,96.05,96.37,95.87,95.69,95.62,95.62,95.89,95.78,95.67,95.82,96.21,95.98,95.88
PS,2003,96.49,95.81,95.51,95.52,95.46,95.48,95.87,95.83,95.87,95.85,96.05,96.14,95.82
PS,2004,96.09,96.05,96.08,95.7,95.63,95.68,95.75,95.86,95.82,95.67,96.05,96.29,95.89
PS,2005,96.26,96.12,95.56,95.67,95.58,95.47,95.78,95.74,95.85,95.98,95.99,96.1,95.84
PS,2006,96.02,96.08,95.77,95.54,95.51,95.76,95.81,95.72,95.77,95.77,95.98,96.25,95.83
PS,2007,96.35,95.94,95.92,95.71,95.71,95.58,95.8,95.79,95.89,95.84,96.19,95.98,95.89
PS,2008,96.26,95.79,95.71,95.61,95.32,95.56,95.74,95.58,95.89,96.16,96.1,96.09,95.82
PS,2009,96.17,96.08,95.76,95.59,95.61,95.43,95.72,95.79,95.83,95.63,96.08,95.97,95.8
PS,2010,96.1,95.89,95.67,95.49,95.47,95.57,95.75,95.62,95.7,96.0,95.94,95.97,95.77
PS,2011,96.02,95.95,95.73,95.24,95.36,95.46,95.57,95.51,95.77,95.9,96.0,96.29,95.73
PS,2012,96.13,96.08,95.68,95.56,95.53,95.48,95.78,95.65,95.87,95.84,96.25,95.87,95.81
PS,2013,96.21,95.79,95.89,95.55,95.62,95.61,95.8,95.82,95.69,95.85,96.36,96.21,95.87
