-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  38.8952   Longitude -77.0364 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 70.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,101.02,101.42,100.53,101.02,100.85,100.76,100.74,100.76,100.91,101.14,101.35,100.99,100.95
PS,2002,100.84,101.03,101.22,101.08,100.91,100.79,100.75,100.92,100.92,101.04,100.72,100.96,100.93
PS,2003,100.88,100.92,100.79,100.84,100.63,100.53,100.67,100.79,100.94,100.81,101.05,101.02,100.82
PS,2004,100.94,101.39,101.26,100.63,100.82,100.82,100.55,100.77,101.08,100.88,101.26,101.04,100.95
PS,2005,101.49,101.2,100.38,100.51,100.68,100.73,100.72,100.74,101.03,100.76,100.96,100.9,100.84
PS,2006,100.78,100.83,100.87,100.62,100.37,100.61,100.76,100.69,100.71,100.7,101.05,101.47,100.79
PS,2007,101.08,100.83,101.31,100.45,101.18,100.63,100.6,100.66,101.13,101.0,101.06,101.21,100.93
PS,2008,101.28,100.83,100.98,100.97,100.29,100.59,100.62,100.58,101.0,101.26,100.93,101.22,100.88
PS,2009,100.97,101.1,101.32,100.68,100.88,100.25,100.54,100.76,100.98,100.83,101.08,101.07,100.87
PS,2010,100.86,100.34,100.38,100.63,100.8,100.48,100.63,100.65,100.61,100.54,101.11,100.64,100.64
PS,2011,100.84,100.91,101.17,100.54,100.6,100.5,100.51,100.32,100.74,100.75,101.13,101.37,100.78
PS,2012,100.96,101.03,101.11,100.58,100.76,100.58,100.56,100.68,100.84,100.58,101.38,100.85,100.82
PS,2013,101.34,100.84,100.67,101.16,101.0,100.52,100.87,100.84,100.84,100.95,101.46,101.21,100.97
PS,2014,100.98,101.01,100.88,100.88,100.84,100.74,100.69,100.8,101.04,100.57,101.02,101.28,100.89
PS,2015,101.28,101.13,101.24,100.77,101.22,100.62,100.49,100.7,100.93,101.06,101.42,101.13,101.0
PS,2016,100.93,100.9,100.9,100.89,100.71,100.59,100.63,100.89,100.97,101.14,101.09,101.32,100.91
PS,2017,100.87,100.72,101.27,100.78,100.4,100.57,100.61,100.83,100.84,101.07,101.2,101.12,100.86
PS,2018,101.55,101.54,100.71,100.78,100.85,100.57,100.91,100.82,101.15,100.95,101.05,101.12,101.0
PS,2019,101.11,101.28,101.2,100.74,100.6,100.54,100.65,100.62,101.0,100.92,101.07,101.03,100.9
PS,2020,101.26,100.91,101.15,100.39,100.92,100.73,100.56,100.6,101.01,101.05,101.34,101.0,100.91
PS,2021,100.91,101.09,101.31,100.55,101.07,100.79,100.66,100.84,100.76,100.65,101.17,100.94,100.89
PS,2022,101.07,101.43,100.83,100.85,100.82,100.63,100.61,100.76,100.81,100.95,101.3,101.31,100.94
PS,2023,100.81,100.97,100.8,100.77,100.85,100.25,100.46,100.49,100.86,100.65,101.22,101.18,100.77
PS,2024,100.94,100.78,100.76,100.59,100.44,100.58,100.71,100.78,100.96,101.18,100.85,101.41,100.83
PS,2025,100.97,101.15,100.52,100.95,100.56,100.73,100.74,101.01,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2001,-0.74,2.35,4.14,12.18,17.15,22.7,23.61,25.29,19.53,13.95,10.88,5.43,13.09
T2M,2002,2.63,3.75,6.97,13.56,17.23,23.95,26.9,26.83,21.7,13.87,6.51,0.06,13.71
T2M,2003,-2.6,-1.38,5.74,10.53,15.11,20.54,23.64,24.09,19.85,12.41,9.69,1.2,11.64
T2M,2004,-2.84,0.21,6.54,11.58,19.9,21.43,24.71,23.53,21.42,13.67,8.92,2.74,12.68
T2M,2005,0.43,1.64,3.62,11.73,14.78,22.91,26.17,26.53,23.35,14.58,8.55,-0.18,12.89
T2M,2006,3.73,1.43,6.14,13.24,17.5,22.91,25.45,26.54,19.21,13.08,9.0,4.92,13.67
T2M,2007,3.07,-3.29,5.95,10.27,17.68,23.16,25.94,26.45,22.36,18.02,7.18,2.9,13.42
T2M,2008,1.01,2.38,6.61,12.62,16.01,23.28,25.21,24.22,21.42,12.96,6.5,2.46,12.91
T2M,2009,-1.96,1.7,5.6,12.0,17.45,21.79,23.99,25.39,19.61,13.16,9.05,0.55,12.41
T2M,2010,-1.31,-2.48,7.64,13.57,18.33,24.99,27.42,25.69,22.56,13.65,7.4,-1.34,13.09
T2M,2011,-2.33,2.24,5.63,13.33,18.77,23.66,27.85,25.08,20.48,12.94,9.02,4.82,13.52
T2M,2012,2.11,4.0,10.96,12.06,20.0,23.29,27.95,25.59,20.61,14.28,5.0,4.8,14.27
T2M,2013,1.55,0.76,3.42,12.13,17.08,22.75,25.45,23.56,20.32,14.84,5.68,2.45,12.57
T2M,2014,-2.84,-1.56,2.45,10.84,17.75,22.42,24.14,23.43,21.02,14.83,5.63,3.14,11.85
T2M,2015,-1.53,-4.21,3.29,12.02,19.56,23.03,24.69,24.82,22.57,13.18,10.26,8.75,13.13
T2M,2016,-0.99,1.98,9.0,11.43,16.02,22.33,26.89,26.78,23.01,15.25,9.01,2.3,13.62
T2M,2017,2.57,5.74,5.52,15.24,17.14,23.97,26.64,23.44,21.12,16.98,7.44,1.51,13.98
T2M,2018,-0.77,4.51,3.55,10.1,20.21,22.37,24.86,24.79,22.54,14.64,5.53,3.36,13.02
T2M,2019,-0.02,1.92,4.83,13.88,19.44,22.4,26.38,25.95,23.93,16.96,5.65,3.16,13.77
T2M,2020,3.05,4.36,9.1,10.83,15.59,22.96,27.96,24.67,19.68,14.8,10.17,1.96,13.79
T2M,2021,0.88,0.4,7.56,12.28,16.89,23.23,26.63,26.28,21.54,17.76,6.7,5.99,13.93
T2M,2022,-0.96,2.99,7.93,11.41,18.09,23.72,26.79,26.21,21.54,12.84,9.11,1.69,13.5
T2M,2023,4.54,5.48,6.77,14.57,16.88,22.38,27.02,25.51,22.04,15.46,7.41,4.99,14.47
T2M,2024,1.62,4.1,8.23,13.46,19.01,24.89,28.04,25.34,21.59,15.62,10.5,2.93,14.64
T2M,2025,-1.95,1.64,8.67,13.58,18.34,24.38,27.36,24.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,2001,11.92,15.04,17.86,27.56,29.48,33.97,34.84,36.64,30.63,27.8,25.27,21.67,36.64
T2M_MAX,2002,20.55,22.56,23.14,32.97,31.52,35.91,37.6,37.78,31.37,30.28,21.41,14.1,37.78
T2M_MAX,2003,11.93,9.2,20.89,26.57,25.23,30.54,31.1,31.04,28.63,23.54,24.46,11.99,31.1
T2M_MAX,2004,18.43,14.83,21.32,27.66,29.43,30.33,31.8,32.93,29.92,24.55,23.04,15.76,32.93
T2M_MAX,2005,19.59,15.5,15.77,26.58,27.43,32.41,36.13,36.59,33.56,28.93,22.32,9.35,36.59
T2M_MAX,2006,16.18,15.65,24.72,25.5,32.86,34.64,34.29,37.38,28.85,28.33,22.1,22.37,37.38
T2M_MAX,2007,19.0,11.08,23.79,25.76,29.97,35.45,36.64,37.79,34.05,32.72,21.17,15.79,37.79
T2M_MAX,2008,17.66,18.92,19.39,26.44,26.75,33.38,34.02,33.9,34.5,26.97,22.21,17.46,34.5
T2M_MAX,2009,8.61,17.66,22.36,30.95,27.29,29.66,33.82,34.43,29.85,28.3,20.67,17.7,34.43
T2M_MAX,2010,14.2,5.39,20.76,28.51,29.56,36.07,38.71,36.91,35.42,27.09,17.42,16.78,38.71
T2M_MAX,2011,7.95,20.01,23.12,26.95,32.43,33.05,38.7,36.06,28.7,26.09,19.79,15.55,38.7
T2M_MAX,2012,15.94,17.72,25.08,27.59,30.81,36.34,40.24,35.01,32.02,26.96,19.12,19.6,40.24
T2M_MAX,2013,19.62,12.84,13.92,27.56,30.91,30.83,33.27,32.06,34.93,31.48,23.13,20.39,34.93
T2M_MAX,2014,12.72,14.17,17.72,23.98,28.63,30.01,33.17,32.31,32.48,26.7,20.14,17.04,33.17
T2M_MAX,2015,14.78,12.56,20.25,24.14,29.87,32.37,32.13,34.77,35.17,25.85,24.62,20.69,35.17
