-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  38.5323   Longitude -98.3802 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 498.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,96.14,96.16,95.88,95.47,95.5,95.56,95.53,95.76,95.86,95.75,95.92,95.82,95.78
PS,2002,95.87,96.15,95.86,95.64,95.64,95.51,95.76,95.75,95.67,96.01,95.99,95.78,95.8
PS,2003,96.4,95.86,95.42,95.3,95.56,95.5,95.62,95.81,95.88,95.78,95.87,95.83,95.74
PS,2004,96.05,96.06,96.02,95.68,95.32,95.71,95.64,95.77,95.79,95.56,96.12,96.0,95.81
PS,2005,96.31,96.02,95.44,95.47,95.56,95.32,95.75,95.69,95.81,95.93,95.63,95.91,95.74
PS,2006,95.57,96.06,95.7,95.26,95.51,95.7,95.66,95.68,95.7,95.67,95.85,96.05,95.7
PS,2007,96.22,95.78,95.8,95.69,95.7,95.56,95.73,95.58,95.83,95.69,96.1,95.9,95.8
PS,2008,95.87,95.7,95.74,95.48,95.19,95.38,95.54,95.66,96.01,96.03,95.92,95.87,95.7
PS,2009,96.04,95.94,95.64,95.48,95.69,95.3,95.67,95.75,95.93,95.58,95.89,95.84,95.73
PS,2010,96.08,95.95,95.53,95.22,95.47,95.42,95.56,95.54,95.64,95.82,95.75,95.92,95.66
PS,2011,95.98,95.89,95.79,95.05,95.19,95.15,95.42,95.43,95.93,95.81,95.75,96.21,95.63
PS,2012,95.9,95.98,95.43,95.48,95.4,95.36,95.6,95.7,95.85,95.68,96.07,95.65,95.67
PS,2013,96.12,95.77,95.88,95.56,95.5,95.45,95.76,95.82,95.64,95.74,96.23,96.1,95.8
PS,2014,95.99,95.99,95.78,95.35,95.45,95.29,95.84,95.57,95.87,95.71,95.99,96.13,95.75
PS,2015,96.41,96.3,96.1,95.5,95.7,95.52,95.51,95.71,95.65,95.96,95.79,95.55,95.81
PS,2016,95.9,95.93,95.45,95.58,95.64,95.67,95.54,95.73,95.84,95.78,95.93,96.16,95.76
PS,2017,95.77,95.6,95.91,95.4,95.38,95.43,95.75,95.82,95.75,95.76,95.92,96.25,95.73
PS,2018,96.29,96.11,95.73,95.75,95.42,95.34,95.94,95.65,95.82,95.93,95.93,95.93,95.82
PS,2019,96.03,95.87,96.11,95.37,95.3,95.5,95.7,95.61,95.61,95.82,95.96,95.83,95.73
PS,2020,96.0,95.99,95.83,95.56,95.72,95.4,95.61,95.65,95.92,95.96,96.04,95.94,95.8
PS,2021,95.96,96.15,95.76,95.63,95.83,95.51,95.82,95.58,95.65,95.57,96.08,95.41,95.74
PS,2022,96.22,96.27,95.64,95.4,95.23,95.6,95.63,95.69,95.83,95.87,96.01,95.85,95.77
PS,2023,95.74,95.73,95.68,95.56,95.66,95.4,95.62,95.69,95.69,95.79,96.0,95.96,95.71
PS,2024,95.97,95.56,95.46,95.39,95.24,95.39,95.66,95.88,95.77,96.03,95.67,96.1,95.68
PS,2025,96.35,96.21,95.19,95.6,95.57,95.51,95.67,95.88,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2001,-0.77,-1.82,4.6,15.28,19.06,23.73,30.25,27.82,20.8,13.8,9.78,2.58,13.85
T2M,2002,0.55,1.67,3.71,14.06,17.94,25.83,28.94,27.04,22.26,9.58,5.11,1.43,13.23
T2M,2003,-0.79,-0.12,6.11,13.17,17.59,22.43,29.84,28.6,18.77,14.53,5.36,0.57,13.09
T2M,2004,-1.43,-0.24,8.78,13.21,20.67,22.68,25.22,23.38,22.85,14.52,6.63,1.54,13.19
T2M,2005,-2.98,3.39,7.04,13.25,18.92,24.82,27.03,26.0,23.04,14.47,7.72,-0.83,13.53
T2M,2006,4.91,1.28,7.57,16.82,20.11,25.75,29.14,26.51,18.96,12.89,6.62,2.3,14.48
T2M,2007,-2.13,-0.47,11.04,10.48,19.11,22.28,25.38,27.42,21.54,15.25,6.43,-2.71,12.88
T2M,2008,-1.17,-0.09,5.79,10.49,18.35,24.23,26.79,24.47,19.18,12.63,5.67,-1.71,12.09
T2M,2009,-1.3,2.89,6.52,11.53,17.96,24.66,25.62,24.51,18.96,9.67,7.85,-3.38,12.16
T2M,2010,-3.24,-1.29,6.46,14.89,17.94,26.42,27.59,27.93,22.48,15.48,5.25,-0.5,13.36
T2M,2011,-2.73,-0.59,6.72,13.54,18.74,27.38,32.49,29.11,20.29,14.94,5.59,-0.03,13.87
T2M,2012,1.53,2.45,13.28,16.17,22.59,26.94,31.83,25.87,21.09,12.71,8.01,1.36,15.36
T2M,2013,0.21,1.39,5.27,10.27,18.57,25.37,26.71,24.62,22.46,13.07,4.65,-1.92,12.61
T2M,2014,-1.61,-1.96,4.37,12.6,20.13,24.22,25.65,27.62,21.2,14.92,3.51,1.18,12.74
T2M,2015,-0.13,-1.21,8.6,14.27,17.5,25.12,27.07,24.98,24.05,15.63,7.94,1.58,13.86
T2M,2016,-1.0,4.4,9.92,13.83,17.55,25.96,27.09,24.81,21.77,16.21,9.73,-1.18,14.1
T2M,2017,-0.17,5.35,8.79,12.8,17.55,24.54,28.52,24.46,23.07,14.25,7.38,0.69,13.97
T2M,2018,-1.72,-0.12,7.59,9.69,23.39,27.27,27.39,25.46,21.31,11.79,2.55,0.52,13.01
T2M,2019,-1.1,-2.59,4.16,13.02,16.66,22.32,25.29,24.94,23.85,10.06,4.35,1.65,11.96
T2M,2020,-0.17,1.16,8.27,11.63,16.46,25.79,26.8,25.87,19.76,11.75,8.19,1.66,13.13
T2M,2021,0.48,-3.9,8.56,11.51,17.1,25.36,26.93,27.77,23.71,15.47,7.89,4.11,13.86
T2M,2022,-1.16,0.37,6.75,13.47,19.39,24.95,28.24,28.43,23.64,15.09,5.16,-0.29,13.74
T2M,2023,0.33,2.16,5.56,13.12,20.3,24.45,27.87,27.97,23.96,15.14,7.46,3.14,14.36
T2M,2024,-3.52,5.8,8.39,15.22,19.89,26.09,27.99,27.21,23.1,17.56,7.8,2.8,14.88
T2M,2025,-3.07,-1.48,10.41,14.4,18.39,24.29,27.5,25.45,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,2001,13.07,13.64,20.19,28.75,34.04,34.92,42.4,40.03,35.37,29.84,25.47,19.51,42.4
T2M_MAX,2002,17.38,23.25,23.3,32.71,36.26,38.33,42.93,39.69,39.04,29.29,21.99,17.77,42.93
T2M_MAX,2003,18.08,19.35,25.84,29.63,33.12,35.94,43.58,41.35,32.48,30.1,21.44,13.87,43.58
T2M_MAX,2004,14.38,20.32,25.16,30.72,35.45,35.2,39.28,38.15,36.12,28.51,24.66,18.62,39.28
T2M_MAX,2005,17.17,17.75,22.49,28.35,36.7,38.45,40.54,40.47,37.15,32.97,24.6,15.23,40.54
T2M_MAX,2006,18.45,27.04,25.16,35.78,37.01,39.45,43.18,41.43,33.4,35.44,29.13,17.98,43.18
T2M_MAX,2007,13.47,20.86,27.03,28.36,28.49,30.68,33.67,37.64,34.52,32.51,23.37,18.65,37.64
T2M_MAX,2008,21.8,13.74,23.91,27.32,31.0,35.55,39.1,41.22,32.53,27.08,23.16,15.39,41.22
T2M_MAX,2009,16.35,21.39,25.5,29.64,33.24,36.53,39.12,39.58,30.12,25.62,22.25,13.8,39.58
T2M_MAX,2010,12.12,10.84,26.58,29.75,31.37,38.06,38.65,42.05,36.29,31.81,22.8,14.89,42.05
T2M_MAX,2011,15.8,22.6,27.46,32.34,37.77,42.53,45.18,44.24,42.75,32.43,20.2,16.81,45.18
T2M_MAX,2012,18.81,18.77,28.84,33.49,37.8,44.45,42.9,40.17,40.27,28.63,25.79,20.16,44.45
T2M_MAX,2013,21.92,20.62,28.81,32.23,36.07,40.84,42.26,37.19,37.88,30.72,19.75,17.93,42.26
T2M_MAX,2014,15.86,19.87,25.77,31.71,37.33,34.97,41.93,39.41,35.69,29.69,21.38,15.45,41.93
T2M_MAX,2015,20.38,21.07,29.19,29.64,31.84,36.59,39.65,35.95,38.72,32.51,25.68,18.87,39.65
T2M_MAX,2016,15.07,25.27,26.26,27.34,29.53,37.41,39.97,36.86,33.55,30.59,24.24,17.91,39.97
T2M_MAX,2017,18.05,23.15,30.92,28.37,30.02,35.43,42.27,37.54,36.89,29.8,25.77,18.02,42.27
T2M_MAX,2018,16.73,20.12,24.96,32.82,36.36,39.04,37.78,38.23,34.77,33.77,16.91,11.61,39.04
T2M_MAX,2019,14.07,17.32,22.23,27.25,29.82,32.73,34.7,35.09,34.04,28.78,22.17,16.82,35.09
T2M_MAX,2020,12.45,20.21,25.25,26.72,29.12,36.93,37.39,38.57,38.2,33.36,23.98,16.62,38.57
T2M_MAX,2021,15.02,19.88,25.47,27.79,29.32,39.7,38.45,40.39,36.71,31.67,24.44,22.85,40.39
T2M_MAX,2022,16.33,19.04,28.59,33.12,34.81,37.98,42.97,40.5,39.04,30.45,26.0,23.22,42.97
T2M_MAX,2023,14.46,20.08,23.87,30.74,35.15,39.49,42.83,43.79,38.6,33.46,24.46,18.01,43.79
T2M_MAX,2024,20.22,25.08,24.85,33.02,32.46,39.66,42.29,41.47,36.14,35.53,22.47,15.68,42.29
T2M_MAX,2025,12.74,20.83,29.93,34.98,34.36,34.06,37.88,40.08,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MIN,2001,-14.37,-18.19,-7.15,-1.61,6.31,9.23,17.67,14.7,4.9,-0.23,-6.39,-9.22,-18.19
T2M_MIN,2002,-11.07,-13.24,-15.12,-5.51,4.33,12.02,18.68,13.89,8.17,-2.95,-5.89,-5.66,-15.12
T2M_MIN,2003,-15.03,-14.05,-11.45,-3.14,6.56,8.83,16.96,15.72,4.26,-0.36,-7.24,-10.53,-15.03
T2M_MIN,2004,-16.16,-17.86,-3.28,-1.17,1.62,12.33,12.94,10.68,10.26,1.45,-5.5,-15.09,-17.86
